Megatrend,Area,Firm,Short Description,Keywords,Role of Utility,Website,Twitter Handle,Country,Language,Year Founded,Funding Status,Total Funding Amount (National Currency),Currency,Total Funding Amount (USD),IPO Date,,,,,,,,,,
Other,Solid-State Batteries,ElevenEs,Developer of LFP-based solid-state batteries for mobility and storage,"Solid-State Batteries, EV",,elevenes.com,,Serbia,English,2021,Private,€20M,USD,22500000,,,,,,,,,,,
Other,Hydrogen Production,Phoenix Hydrogen,Develops advanced reformers for decentralized green hydrogen production,"Green Hydrogen, Reforming",,phoenixhydrogen.com,,United States of America,English,2021,Private,,USD,,,,,,,,,,,,
Other,Forestry Tech,Reforesta Inc.,Uses AI and drone-based mapping to support reforestation efforts,"Reforestation, Remote Sensing",,,,Mexico,Spanish,2021,Private,,USD,,,,,,,,,,,,
Other,Green Steel,ReSteel,Develops low-carbon steel production tech using renewable-powered electric furnaces,"Green Steel, Decarbonized Metals",,,,United States of America,English,2021,Private,,USD,,,,,,,,,,,,
Decarbonization,Comfort,Senergy,"Senergy have developed a solar thermal panel designed to deliver affordable heating. Unlike solar PV made from glass, copper and aluminium components, Senergy’s panels are 100% polymer plastic – increasing their thermal efficiency whilst reducing delivery and installation costs.",New materials for solar thermal panels,,https://www.senergyinnovations.co.uk/,,United Kingdom,English,2021,,,USD,,,,,,,,,,,,
Other,Hydrogen Fuel Systems,Verdagy,Develops industrial-scale water electrolyzers for low-cost green hydrogen,"Electrolysis, Green Hydrogen",,verdagy.com,@VerdagyH2,United States of America,English,2021,Private,$120M+,USD,120000000,,,,,,,,,,,
Other,Urban EV Charging,Voltpost,Turns streetlight poles into EV charging stations for dense urban environments,"EV Charging, Smart Cities",,voltpost.com,@voltpost,United States of America,English,2021,Private,$5M+,USD,5000000,,,,,,,,,,,
Clean Energy,RainStick,RainStick - Innovation Area,RainStick is a startup focused on sustainability solutions.,"rainstick, sustainability",Environmental Impact,https://www.rainstick.com,https://twitter.com/rainstick,Germany,English,2021,Series A,$35M,USD,44546798,,,,,,,,,,,
Clean Energy,nZero,nZero - Innovation Area,nZero is a startup focused on sustainability solutions.,"nzero, sustainability",Environmental Impact,https://www.nzero.com,https://twitter.com/nzero,Germany,English,2021,Seed,$30M,USD,11357619,,,,,,,,,,,
Circular Economy,BlueSky Energy,BlueSky Energy - Innovation Area,BlueSky Energy is a startup focused on sustainability solutions.,"bluesky energy, sustainability",Environmental Impact,https://www.blueskyenergy.com,https://twitter.com/blueskyenergy,UK,English,2021,Seed,$124M,USD,133660606,,,,,,,,,,,
Digital & AI,Liquid Wind,Liquid Wind - Innovation Area,Liquid Wind is a startup focused on sustainability solutions.,"liquid wind, sustainability",Environmental Impact,https://www.liquidwind.com,https://twitter.com/liquidwind,Netherlands,English,2022,Seed,$99M,USD,83863060,,,,,,,,,,,
Fintech & Payments,EH Group,EH Group - Innovation Area,EH Group is a startup focused on sustainability solutions.,"eh group, sustainability",Environmental Impact,https://www.ehgroup.com,https://twitter.com/ehgroup,USA,English,2022,Series B,$30M,USD,120061627,,,,,,,,,,,
Clean Energy,Greyparrot,Greyparrot - Innovation Area,Greyparrot is a startup focused on sustainability solutions.,"greyparrot, sustainability",Environmental Impact,https://www.greyparrot.com,https://twitter.com/greyparrot,Netherlands,English,2023,Series C,$31M,USD,118909895,,,,,,,,,,,
Sustainable Mobility,Robovision,Robovision - Innovation Area,Robovision is a startup focused on sustainability solutions.,"robovision, sustainability",Environmental Impact,https://www.robovision.com,https://twitter.com/robovision,India,English,2023,Series C,$13M,USD,109140105,,,,,,,,,,,
AgriTech,Beni,Beni - Innovation Area,Beni is a startup focused on sustainability solutions.,"beni, sustainability",Environmental Impact,https://www.beni.com,https://twitter.com/beni,Germany,English,2023,Series A,$21M,USD,34670244,,,,,,,,,,,
Other,Sustainable Aviation Fuel,Air New Energy (AirNE),Air New Zealand seeks partnerships with startups providing sustainable aviation fuel to reduce flight emissions.,"Aviation, Sustainable Fuel",,,,New Zealand,English,,,,USD,,,,,,,,,,,,
Carbon Management,Carbon Recycling,BC Biocarbon,Converts biomass and waste into biochar and syngas,"Biochar, Carbon removal",,bcbiocarbon.com,,Norway,English,,Private,,USD,,,,,,,,,,,,
Other,Urban Logistics,Beamin,Last-mile delivery and sustainability logistics startup,"Urban mobility, Delivery",,,,France,French,,,,USD,,,,,,,,,,,,
Other,Traceability Tech,Bettertrace (Infinium Metals),Startup focused on materials traceability and ESG compliance tech for mining,"Traceability, ESG, Mining",,,,Unknown,English,,,,USD,,,,,,,,,,,,
Other,Renewables,BM Renewables,Offers engineering and consultancy in renewable energy projects across LatAm,"Renewable Energy, Consulting",,bmrenewables.com,,Mexico,Spanish,,Private,,USD,,,,,,,,,,,,
Decarbonization,CCUS,C-Capture,Designing world leading chemical processes for carbon dioxide removal,,,,,,,,,,USD,,,,,,,,,,,,
Other,Renewable Fuels,Catalyxx,Converts ethanol into higher-value fuels like n-butanol and hexanol,"Biofuels, Catalysis",,catalyxxinc.com,,United States of America,English,,Private,,USD,,,,,,,,,,,,
Other,Urban Mining,Chinook Urban Mining,Waste-to-energy and metals recovery from urban solid waste,"Urban Mining, WtE",,chinookurbanmining.com,,United Kingdom,English,,Private,,USD,,,,,,,,,,,,
Digitalization,Buildings,Clou Electronics,"A company that provides smart energy management solutions for buildings, including energy monitoring and control systems.",,,,,,,,,,USD,,,,,,,,,,,,
Clean Energy,Renewable Energy,Coconut Energy,Focused on bringing solar-powered microgrids to rural and remote areas,"Off-grid, Solar, Microgrids",,,,Pacific Islands,English,,,,USD,,,,,,,,,,,,
Other,Clean Water,Desolenator (Not included as per request),,,,,,,,,,,USD,,,,,,,,,,,,
Clean Energy,Solar Installers,Encorsa,Provides solar installations and energy efficiency services in Latin America,"Solar PV, Installers",,encorsa.mx,,Mexico,Spanish,,Private,,USD,,,,,,,,,,,,
Digital & AI,Biotech / Agriculture,EnterBio,Develops biotechnology solutions for improving plant nutrition,"Biofertilizers, Soil Health",,,,Brazil,Portuguese,,Private,,USD,,,,,,,,,,,,
Decabonization,Alternative generation,First Light Fusion,"First Light Fusion Ltd is a lean, focused and agile corporation researching energy generation by inertial confinement fusion. The company was spun out from the University of Oxford in June 2011 and is based near Oxford.",New form of power generation,,firstlightfusion.com,@FLFusion,United States of America,English,,2011,,USD,,,,,,,,,,,,
Distributed,Buildings,Flux,"A company that provides energy management software for buildings and facilities, including real-time monitoring, optimization, and automation.",,,,,,,,,,USD,,,,,,,,,,,,
Other,Public Utility R&D,Hydro-Québec Innovations,Innovation branch of Hydro-Québec focusing on energy storage and efficiency,"Public Utility, R&D, Storage",Utility,hydroquebec.com,@hydroquebec,Canada,French / English,,Public Utility,CAD$5B R&D,USD,3605000000,,,,,,,,,,,
Other,Hydrogen / Fuel Cells,Hyli,Works on compact hydrogen fuel cell systems for mobility and backup power,"Hydrogen Fuel Cells, Backup Energy",,,,Unknown,English,,Private,,USD,,,,,,,,,,,,
Other,Ocean Restoration,Kalm Energy,Builds floating platforms that restore marine biodiversity while producing energy,"Ocean Biodiversity, Solar",,,,Unknown,English,,Private,,USD,,,,,,,,,,,,
Digitalization,AI,KoBold Metals,uses artificial intelligence to help determine where to survey and drill.,,,,,,,,,,USD,,,,,,,,,,,,
Decarbonization,Energy efficiency,Magnomatics,Magnomatics is a high-technology company that develops and manufactures energy-efficient products based on ground-breaking magnetic gear technology.,,,,,,,,,,USD,,,,,,,,,,,,
Decarbonization,Climate Change,Make sunsets,We deploy our reflective clouds above 12.4 miles (20km) from the Earth's surface using balloons. The reflective clouds stay up for about a year reflecting some of the Sun's rays just like the natural clouds below. Think of it as applying sunscreen spray to protect your skin from the Sun. Just one gram of our clouds offsets the warming effect of one ton of CO₂ for a year.,,,,,,,,,,USD,,,,,,,,,,,,
Other,Energy Storage,NEC Energy Solutions,"Provided grid-scale battery systems, exited energy storage business in 2020","Grid Storage, Batteries",Supplier,N/A (shutdown),,United States of America,English,,Defunct,,USD,,,,,,,,,,,,
Other,Ocean Tech,New Stream (renamed),Focused on ocean-based energy and water treatment systems,"Ocean Energy, Water Purification",,,,Unknown,English,,Renamed / Defunct,,USD,,,,,,,,,,,,
Decarbonization,CCUS,Oxccu,"We use CO₂ and renewable energy to make fuels, chemicals and plastics",,,,,,,,,,USD,,,,,,,,,,,,
Other,Ragworm,"Provides affordable, small-batch printed circuit boards for prototyping and IoT","PCB, Hardware Prototyping",,ragworm.eu,,UK,English,~2010,,,,USD,,,,,,,,,,,,
Electrification,Bikes,Ride Cake,"This innovative bike manufacturer provides robust electric bikes ranging from off-road motorcycles to cargo-friendly. CAKE’s innovative solutions are specifically designed, engineered and manufactured in a way that reduces carbon footprint without any compromise on performance levels",,,https://ridecake.com/en,,Sweden,English,,,,USD,,,,,,,,,,,,
Other,Aquaculture,Sea Farms,"Grows seaweed and marine organisms for food, biofuels, and ocean restoration","Sustainable Aquaculture, Blue Tech",,,,United States of America,English,,Private,,USD,,,,,,,,,,,,
Decarbonization,Energy efficiency,Solar wave energy,"Our mission is to increase the efficiency of renewable energy technologies by monitoring energy both as it is produced andwhen it is consumed. We specialize in monitoring solar thermal systems providing tools for installers, system owners andprogram managers. When you have Solar Thermal and Photovoltaic systems we show both on a single page for easy management.",,,,,,,,,,USD,,,,,,,,,,,,
Decarbonization,Chemicals,Sunborne,Using reactor technology that enables ammonia-fuelled solutions to eliminate emissions in hard to decarbonise industries,,,,,,,,,,USD,,,,,,,,,,,,
Other,Geothermal Solutions,Tamar Technological Development,Specializes in geothermal drilling and heat exchange for renewable heating,"Geothermal Heating, Thermal Networks",,,,Israel,English,,Private,,USD,,,,,,,,,,,,
Decarbonization,Equipment,Tesla Industries,"A company that offers a range of electrical services, including power distribution, lighting, and low voltage systems.",,,,,,,,,,USD,,,,,,,,,,,,
Digitalization,AI,Vaak,"A company that develops and provides AI-powered video analytics solutions for various industries, including energy and utilities, offering safety and security services.",,,,,,,,,,USD,,,,,,,,,,,,
Decarbonization,Equipment,VOLTAMP Energy,"A company that produces transformers, switchgear, and other electrical equipment, serving customers in the UAE and other countries.",,,,,,,,,,USD,,,,,,,,,,,,
Electrification,EV,Vulcan Energy Resources,Vulcan Energy Resources ASX: $VUL.AX aims to decarbonise the transition to EVs via world-first Zero Carbon Lithium Project with DLE tech & geothermal energy,,,,,,,,,,USD,,,,,,,,,,,,
Sustainable Mobility,Clir Renewables - Innovation Area,Clir Renewables,Clir Renewables is a startup focused on sustainability solutions.,"clir renewables, sustainability",Environmental Impact,https://www.clirrenewables.com,https://twitter.com/clirrenewables,Germany,English,2018.0,Series C,$69M,USD,147948900,,,,,,,,,,,
HealthTech,Zanskar Geothermal - Innovation Area,Zanskar Geothermal,Zanskar Geothermal is a startup focused on sustainability solutions.,"zanskar geothermal, sustainability",Environmental Impact,https://www.zanskargeothermal.com,https://twitter.com/zanskargeothermal,France,English,2015.0,Series A,$78M,USD,137145782,,,,,,,,,,,
AgriTech,Energy Web - Innovation Area,Energy Web,Energy Web is a startup focused on sustainability solutions.,"energy web, sustainability",Environmental Impact,https://www.energyweb.com,https://twitter.com/energyweb,USA,English,2023.0,Seed,$45M,USD,39160106,,,,,,,,,,,
Fintech & Payments,Phenix - Innovation Area,Phenix,Phenix is a startup focused on sustainability solutions.,"phenix, sustainability",Environmental Impact,https://www.phenix.com,https://twitter.com/phenix,India,English,2020.0,Series B,$133M,USD,112867610,,,,,,,,,,,
AgriTech,Powerhouse Dynamics - Innovation Area,Powerhouse Dynamics,Powerhouse Dynamics is a startup focused on sustainability solutions.,"powerhouse dynamics, sustainability",Environmental Impact,https://www.powerhousedynamics.com,https://twitter.com/powerhousedynamics,Germany,English,2021.0,Series A,$95M,USD,114816389,,,,,,,,,,,
Digital & AI,Climeworks - Innovation Area,Climeworks,Climeworks is a startup focused on sustainability solutions.,"climeworks, sustainability",Environmental Impact,https://www.climeworks.com,https://twitter.com/climeworks,Germany,English,2016.0,Series A,$74M,USD,145244660,,,,,,,,,,,
Digital & AI,Grid Edge - Innovation Area,Grid Edge,Grid Edge is a startup focused on sustainability solutions.,"grid edge, sustainability",Environmental Impact,https://www.gridedge.com,https://twitter.com/gridedge,UK,English,2018.0,Series A,$46M,USD,59912313,,,,,,,,,,,
